trial,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour
105,707347.0,2324.0,True,0.295731534090909,8,fumbo,mystery,0.264090909090909,pink
106,714714.0,4141.0,True,0.4011292613636359,6,mshoni,tailor,0.291363636363636,violet
107,721924.0,2431.0,True,0.32825994318181795,7,tumbili,monkey,0.223181818181818,yellow
108,727599.0,2894.0,True,0.29590909090909,27,ladha,flavor,0.29590909090909,yellow
109,735166.0,1380.0,False,0.3133096590909089,24,rembo,ornament,0.214090909090909,purple
110,739360.0,1791.0,False,0.29590909090909,27,ladha,flavor,0.29590909090909,yellow
111,744224.0,1465.0,True,0.45073863636363587,6,mshoni,tailor,0.291363636363636,violet
112,748675.0,3160.0,False,0.259154829545454,26,farasi,horse,0.209545454545454,violet
113,759738.0,1481.0,True,0.467571022727272,22,rushwa,bribe,0.277727272727272,blue
114,765438.0,2529.0,False,0.34551846590908997,27,ladha,flavor,0.29590909090909,yellow
115,770308.0,1070.0,True,0.286036931818181,19,sumu,poison,0.186818181818181,cyan
116,775713.0,3230.0,True,0.317855113636363,25,pipa,barrel,0.218636363636363,grey
117,782965.0,3531.0,False,0.141363636363636,21,yai,egg,0.141363636363636,red
118,789080.0,1251.0,False,0.36291903409090887,24,rembo,ornament,0.214090909090909,purple
119,794288.0,1370.0,True,0.3951278409090899,27,ladha,flavor,0.29590909090909,yellow
120,800546.0,4279.0,False,0.2576988636363631,20,nanga,anchor,0.268636363636363,orange
121,807171.0,2069.0,True,0.33603693181818095,23,lawama,blame,0.286818181818181,green
122,813174.0,1372.0,True,0.4503480113636359,6,mshoni,tailor,0.291363636363636,violet
123,817708.0,2741.0,True,0.36746448863636294,25,pipa,barrel,0.218636363636363,grey
124,824606.0,1602.0,True,0.30876420454545395,26,farasi,horse,0.209545454545454,violet
125,829160.0,1984.0,True,0.268636363636363,28,bandari,harbor,0.268636363636363,pink
126,835904.0,1465.0,True,0.19590909090909,29,roho,soul,0.19590909090909,cyan
127,840223.0,2018.0,False,0.268636363636363,28,bandari,harbor,0.268636363636363,pink
128,844628.0,1622.0,True,0.39473721590908994,27,ladha,flavor,0.29590909090909,yellow
129,849704.0,1338.0,True,0.255,16,jani,leaf,0.255,violet
130,853944.0,3360.0,True,0.238806818181818,15,mfupa,bone,0.273181818181818,grey
131,860135.0,1574.0,True,0.3758096590909089,24,rembo,ornament,0.214090909090909,purple
132,865414.0,1337.0,True,0.114090909090909,30,wingu,cloud,0.114090909090909,orange
133,870223.0,1392.0,True,0.259545454545454,31,nira,yoke,0.259545454545454,red
134,876891.0,2292.0,False,0.31824573863636296,28,bandari,harbor,0.268636363636363,pink
135,881538.0,1645.0,True,0.259545454545454,31,nira,yoke,0.259545454545454,red
136,885905.0,1327.0,False,0.19590909090909,29,roho,soul,0.19590909090909,cyan
137,889573.0,1820.0,False,0.380355113636363,25,pipa,barrel,0.218636363636363,grey
138,894743.0,4509.0,False,0.30730823863636303,20,nanga,anchor,0.268636363636363,orange
139,901614.0,1595.0,True,0.22772727272727197,12,rafiki,friend,0.227727272727272,blue
140,906276.0,2428.0,True,0.173572443181818,3,theluji,snow,0.223181818181818,green

