trial,start_time,rt,correct,alpha,fact_id,question,answer,priora
134,839102.0,1237.0,True,0.286818181818181,18,hadithi,story,0.286818181818181
135,843255.0,2576.0,True,0.4519460227272719,17,jibini,cheese,0.277727272727272
136,849185.0,2823.0,False,0.286818181818181,18,hadithi,story,0.286818181818181
137,854242.0,1038.0,True,0.38497159090908994,13,pafu,lung,0.24590909090909
138,858024.0,1105.0,True,0.186818181818181,19,sumu,poison,0.186818181818181
139,863082.0,10445.0,False,0.5469034090909091,8,fumbo,mystery,0.264090909090909
140,876763.0,1429.0,True,0.5675710227272722,5,yamini,oath,0.277727272727272
141,880844.0,1633.0,True,0.33642755681818093,18,hadithi,story,0.286818181818181
142,885298.0,2359.0,True,0.4333380681818181,7,tumbili,monkey,0.223181818181818
143,890746.0,1599.0,True,0.470305397727272,17,jibini,cheese,0.277727272727272
144,895312.0,2012.0,False,0.47999999999999987,16,jani,leaf,0.255
145,900997.0,1121.0,True,0.268636363636363,20,nanga,anchor,0.268636363636363
146,905212.0,2246.0,True,0.5527627840909091,8,fumbo,mystery,0.264090909090909

